"Reviewer Name","Review","Number of Stars","Date of Review"
"Rob Leroy","This is the only company I know that does a software update to their products that makes it worse. Then over-hastily designs another software bug fix to fix the thing they just messed up and in doing so from lack of taking their time and research, create another issue so the bug fixes just keep coming because one bug fix creates another bug. They did one software update that caused my phone to drain very quickly with the battery. The next software update that came fixed that but caused the voice to text to be even worse than it already was. Now it mashes words together and does all kinds of nonsensical things.","Rated 1 out of 5 stars","Date of experience: January 15, 2025"
"Kim","Purchased a Apple Watch SE 2nd Gen came with a White Sport Band. Noticed out of the three pieces 2 of the straps are a different color. The one with the pin is white, the other two sm-med and the med-large is starlight. Bought from Walmart sold & shipped by Walmart. Called Apple support today, after speaking to 4 reps and pics, and screen share showing the difference in colors ONLY to tell me we can't help you, take it back to Wal-Mart. Basically, if you don't buy from Apple directly they don't honour their products. I'm beyond pissed and I'm at a point of selling all my Apple Devices and NEVER buying from Apple again. They are in fact a Global Olgiarch with crappy customer service. For a $59 band they chose to lose a customer over replacing their band which their production/QC screwed up. Just beware when buying, pay attention to their policies.","Rated 1 out of 5 stars","Date of experience: January 14, 2025"
"Andrew Ward","Trustpilot reviews Thanks for your review! Apple Add photo Your review is pending.Read more Andrew Ward 20 reviews GB Rated 1 out of 5 stars Diabolical company to deal with. Diabolical company to deal with. Ordered the new iPhone 16 Pro Max which never arrived (lost at DHL) so the order was cancelled and we got the phone another method. We then got threatening letters from Barclays as the loan hadn't been paid and also Apple took £250 out of my account because they didn't receive the trade in phone. I've now been waiting weeks and made numerous calls a week and still no money returned. Essentially, no phone, threats from finance and fraudulently taken money from me. Looks like I'll have to take them to court to get my money back. Disgusting service.","Rated 1 out of 5 stars","Date of experience: December 03, 2024"
"Hap Pu","The battery on my iPhone 14 pro max is draining out within a few days!!! Also the camera quality su*ks I regret buying apple might as well switch back to android","Rated 1 out of 5 stars","Date of experience: January 15, 2025"
"Adam Zielinski","apple steals personal data they track all your emails. they have constant control over your money in the bank they follow you on the street all the time, who you meet, they take pictures of you and record you the front camera checks who has the phone, the rear one where you are and who you are in contact with full control Nazi pigs never buy anything from Apple espionage and terrorism is Apple","Rated 1 out of 5 stars","Date of experience: January 14, 2025"
"rick","what is this new feature? i turn on a feature and then once i do to “learn more about it” i can’t turn it off for an hour? i would attach a picture but it’s called “stolen device protection” i understand its protection but it still uses my phones location. i should do whatever i want with my phone, if i wanna turn it off there shouldn’t be a 1 hour delay until i can change anything in my security Apple. fix this feature idc that much if my iphone gets stolen lol","Rated 1 out of 5 stars","Date of experience: January 13, 2025"
"Levi Powell","I switched from android to Apple, and I can say that it's easier for me. But lol, is it really hard to slide that cord into a new phone and headphones? it's weird.","Rated 4 out of 5 stars","Date of experience: October 29, 2024"
"Danielle P","On January 1st I got charged twice $10.59 for a Royal Pass that you can only purchase ONE TIME ON A GAME!!! The first at 4:36 PM said it was declined then immediately after at 4:37 my Discover charge transaction went though The Paypal charge (4:36PM) charged that said it declined went through anyways. Ive already contacted Apple 4 TIMES AND THEY WILL NOT REFUND MY MONEY EVEN THOUGH I WAS CHARGED TWICE FOR THE SAME THING!!! I don’t know how many times I have to dispute this to get MY MONEY BACK JESUS!!! They said contact the game creator for a refund. THE GAME DOES NOT DO THIS, IT HAS TO COME FROM APPLES END!!!","Rated 1 out of 5 stars","Date of experience: January 01, 2025"
"Sarah","Was given a gift card for Christmas which said was invalid when trying to redeem. Initially reported it through apples chat service on 25/12 but I’ve been given the runaround now for nearly 3 weeks. I’ve spoken to at least 4 advisors, one senior advisor on the phone, been asked for the same photos 4 times, been told the same thing repeatedly with no proper outcome, spoke to current advisor who asked for me to check emails which I messaged copies of and told him date received at least twice only for him to ask me when they were received further along in the chat, obviously not been paying attention. Poor customer service I already know from a chat over the phone with a senior advisor the the redeem code doesn’t match the gift card but nothing is being done about it. Just keep being asked for the same things with no results","Rated 1 out of 5 stars","Date of experience: December 25, 2024"
"Andy Hudson","Can't give zero so have to give 1 star. Appaling customer service when dealing with a bereaved family, one guy laughed down the phone. They have been sent so much documentation yet each time to send another they want another 1 and so on. Don't waste your time writing to CEO office, they just say the same as unhelpful customer service.","Rated 1 out of 5 stars","Date of experience: January 08, 2025"
